nombre,descripcion,precio,categoría
iPhone 12,Smartphone de Apple,799,Digital
Samsung Galaxy S21,Un poderoso teléfono Android,699,Digital
MacBook Pro,La mejor computadora portátil de Apple,1499,Electrónica
LG OLED TV,Una pantalla de alta calidad para ver películas y programas,1199,Electrónica
Nike Air Max,Zapatillas deportivas cómodas y elegantes,120,Ropa y calzado
Nike TN,Zapatillas deportivas cómodas y elegantes,180,Ropa y calzado
iPhone 14 Pro,El ultimo Smartphone de Apple, 1400, Digital
Cenicienta,Libro infantil,10,Libro
ASUS ROG Rapture GT-AXE11000,El mejor router del mercado,499,Electrónica
Gigabyte GeForce RTX 3070,Grafica de alta gama,587,Electrónica
Google Pixel 5,Smartphone con una cámara impresionante,699,Digital
Sony WH-1000XM4,Auriculares inalámbricos con cancelación de ruido,349,Electrónica
Logitech MX Master 3,Ratón inalámbrico para productividad y diseño,99,Electrónica
Nintendo Switch,Consola de videojuegos híbrida,299,Electrónica
Sennheiser HD 660 S,Auriculares de alta fidelidad,499,Electrónica
Razer Blade 15,Computadora portátil para juegos de alta gama,1799,Electrónica
Samsung Galaxy Watch 3,Smartwatch con seguimiento de salud y fitness,399,Electrónica
Microsoft Surface Pro 7,Tableta con computadora portátil y modo tableta,749,Electrónica
Nike Air Force 1,Zapatillas clásicas y elegantes,90,Ropa y calzado
Adidas Ultraboost,Zapatillas para correr con tecnología de amortiguación,180,Ropa y calzado
Levi's 501 Original Fit,Jeans clásicos y duraderos,80,Ropa y calzado
The North Face Denali,Chaqueta de invierno para hombres,199,Ropa y calzado
Columbia Arcadia II,Chaqueta impermeable para mujeres,89,Ropa y calzado
Puma Essentials,Sudadera con capucha y cremallera para hombres,50,Ropa y calzado
Vans Old Skool,Zapatillas clásicas de skate,65,Ropa y calzado
Converse Chuck Taylor All Star,Zapatillas icónicas y versátiles,55,Ropa y calzado
The North Face Recon,Mochila resistente y duradera para actividades al aire libre,99,Ropa y calzado
"El poder del ahora" de Eckhart Tolle,Libro de autoayuda y crecimiento personal,15,Libro
"La casa de los espíritus" de Isabel Allende,Novela de ficción literaria,20,Libro
"La Odisea" de Homero,Clásico de la literatura épica,10,Libro
"Breve historia del tiempo" de Stephen Hawking,Libro de divulgación científica,12,Libro
"1984" de George Orwell,Novela distópica de ficción,9,Libro
"El arte de amar" de Erich Fromm,Libro de psicología y relaciones interpersonales,18,Libro
"El principito" de Antoine de Saint-Exupéry,Libro infantil de ficción,10,Libro
