nombre,descripcion,precio,categoría,img
iPhone 12,Smartphone de Apple,799,Digital,https://m.media-amazon.com/images/I/71hIfcIPyxS._AC_SX522_.jpg
Samsung Galaxy S21,Un poderoso teléfono Android,699,Digital,https://m.media-amazon.com/images/I/713UFAzkTKL._AC_SX679_.jpg
MacBook Pro,La mejor computadora portátil de Apple,1499,Electrónica,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/mbp-spacegray-select-202206_GEO_ES?wid=1280&hei=1190&fmt=jpeg&qlt=90&.v=1664497359390
LG OLED TV,Una pantalla de alta calidad para ver películas y programas,1199,Electrónica,https://www.lg.com/es/images/television/md06122136/gallery/D-1.jpg
Nike Air Max,Zapatillas deportivas cómodas y elegantes,120,Ropa y calzado,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a3916fcd-f02d-49cc-ac2c-85994923092f/air-max-sc-zapatillas-fdzWNV.png
Nike TN,Zapatillas deportivas cómodas y elegantes,180,Ropa y calzado,https://images.stockx.com/images/Nike-Air-Max-Plus-TN-Hyper-Blue.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1617295099
iPhone 14 Pro,El ultimo Smartphone de Apple, 1400, Digital,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-14-pro-finish-unselect-gallery-2-202209?wid=5120&hei=2880&fmt=p-jpg&qlt=80&.v=1663790290203
Cenicienta,Libro infantil,10,Libro,https://m.media-amazon.com/images/I/61a01p6B+HL.jpg
ASUS ROG Rapture GT-AXE11000,El mejor router del mercado,499,Electrónica,https://m.media-amazon.com/images/I/71+TXCO7WhL._AC_SY355_.jpg
Gigabyte GeForce RTX 3070,Grafica de alta gama,587,Electrónica,http://img.pccomponentes.com/articles/52/528568/1116-gigabyte-geforce-rtx-3070-gaming-oc-lhr-v2-8gb-gddr6.jpg
Google Pixel 5,Smartphone con una cámara impresionante,699,Digital,https://m.media-amazon.com/images/I/81AqwYyZjzL._AC_SL1500_.jpg
Sony WH-1000XM4,Auriculares inalámbricos con cancelación de ruido,349,Electrónica,https://www.sony.es/image/5d02da5df552836db894cead8a68f5f3?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
Logitech MX Master 3,Ratón inalámbrico para productividad y diseño,99,Electrónica,https://m.media-amazon.com/images/I/613a-3jtieL._AC_SY450_.jpg
Nintendo Switch,Consola de videojuegos híbrida,299,Electrónica,https://m.media-amazon.com/images/I/71U1R-V8+dL._AC_SX679_.jpg
Sennheiser HD 660 S,Auriculares de alta fidelidad,499,Electrónica,https://media.graphassets.com/pgJUqhYRgWki8I09hdic
Razer Blade 15,Computadora portátil para juegos de alta gama,1799,Electrónica,https://m.media-amazon.com/images/I/71L86H65iDL._AC_SX450_.jpg
Samsung Galaxy Watch 3,Smartwatch con seguimiento de salud y fitness,399,Electrónica,https://m.media-amazon.com/images/I/61R+uf+YRhL._AC_SX522_.jpg
